index,pokedex_number,name,generation,status,fully_evolved,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,growth_rate,egg_type_number,egg_type_1,egg_type_2
151,118,Goldeen,1,Normal,0,Goldfish Pokémon,1,Water,,0.6,15,3,Swift Swim,Water Veil,Lightning Rod,320,45,67,60,35,50,63,Medium Fast,1,Water 2,
152,119,Seaking,1,Normal,1,Goldfish Pokémon,1,Water,,1.3,39,3,Swift Swim,Water Veil,Lightning Rod,450,80,92,65,65,80,68,Medium Fast,1,Water 2,
153,120,Staryu,1,Normal,0,Star Shape Pokémon,1,Water,,0.8,34.5,3,Illuminate,Natural Cure,Analytic,340,30,45,55,70,55,85,Slow,1,Water 3,
154,121,Starmie,1,Normal,1,Mysterious Pokémon,2,Water,Psychic,1.1,80,3,Illuminate,Natural Cure,Analytic,520,60,75,85,100,85,115,Slow,1,Water 3,
155,122,Mr. Mime,1,Normal,1,Barrier Pokémon,2,Psychic,Fairy,1.3,54.5,3,Soundproof,Filter,Technician,460,40,45,65,100,120,90,Medium Fast,1,Human-Like,
156,122,Galarian Mr. Mime,1,Normal,0,Dancing Pokémon,2,Psychic,Ice,1.4,56.8,3,Vital Spirit,Screen Cleaner,Ice Body,460,50,65,65,90,90,100,Medium Fast,1,Human-Like,
157,123,Scyther,1,Normal,0,Mantis Pokémon,2,Bug,Flying,1.5,56,3,Swarm,Technician,Steadfast,500,70,110,80,55,80,105,Medium Fast,1,Bug,
158,124,Jynx,1,Normal,1,Human Shape Pokémon,2,Ice,Psychic,1.4,40.6,3,Oblivious,Forewarn,Dry Skin,455,65,50,35,115,95,95,Medium Fast,1,Human-Like,
159,125,Electabuzz,1,Normal,0,Electric Pokémon,1,Electric,,1.1,30,2,Static,,Vital Spirit,490,65,83,57,95,85,105,Medium Fast,1,Human-Like,
160,126,Magmar,1,Normal,0,Spitfire Pokémon,1,Fire,,1.3,44.5,2,Flame Body,,Vital Spirit,495,65,95,57,100,85,93,Medium Fast,1,Human-Like,
161,127,Pinsir,1,Normal,1,Stag Beetle Pokémon,1,Bug,,1.5,55,3,Hyper Cutter,Mold Breaker,Moxie,500,65,125,100,55,70,85,Slow,1,Bug,
162,127,Mega Pinsir,1,Normal,1,Stag Beetle Pokémon,2,Bug,Flying,1.7,59,1,Aerilate,,,600,65,155,120,65,90,105,Slow,1,Bug,
163,128,Tauros,1,Normal,1,Wild Bull Pokémon,1,Normal,,1.4,88.4,3,Intimidate,Anger Point,Sheer Force,490,75,100,95,40,70,110,Slow,1,Field,
164,129,Magikarp,1,Normal,0,Fish Pokémon,1,Water,,0.9,10,2,Swift Swim,,Rattled,200,20,10,55,15,20,80,Slow,2,Dragon,Water 2
165,130,Gyarados,1,Normal,1,Atrocious Pokémon,2,Water,Flying,6.5,235,2,Intimidate,,Moxie,540,95,125,79,60,100,81,Slow,2,Dragon,Water 2
166,130,Mega Gyarados,1,Normal,1,Atrocious Pokémon,2,Water,Dark,6.5,305,1,Mold Breaker,,,640,95,155,109,70,130,81,Slow,2,Dragon,Water 2
167,131,Lapras,1,Normal,1,Transport Pokémon,2,Water,Ice,2.5,220,3,Water Absorb,Shell Armor,Hydration,535,130,85,80,85,95,60,Slow,2,Monster,Water 1
168,132,Ditto,1,Normal,1,Transform Pokémon,1,Normal,,0.3,4,2,Limber,,Imposter,288,48,48,48,48,48,48,Medium Fast,1,Ditto,
169,133,Eevee,1,Normal,0,Evolution Pokémon,1,Normal,,0.3,6.5,3,Run Away,Adaptability,Anticipation,325,55,55,50,45,65,55,Medium Fast,1,Field,
171,134,Vaporeon,1,Normal,1,Bubble Jet Pokémon,1,Water,,1,29,2,Water Absorb,,Hydration,525,130,65,60,110,95,65,Medium Fast,1,Field,
172,135,Jolteon,1,Normal,1,Lightning Pokémon,1,Electric,,0.8,24.5,2,Volt Absorb,,Quick Feet,525,65,65,60,110,95,130,Medium Fast,1,Field,
173,136,Flareon,1,Normal,1,Flame Pokémon,1,Fire,,0.9,25,2,Flash Fire,,Guts,525,65,130,60,95,110,65,Medium Fast,1,Field,
174,137,Porygon,1,Normal,0,Virtual Pokémon,1,Normal,,0.8,36.5,3,Trace,Download,Analytic,395,65,60,70,85,75,40,Medium Fast,1,Mineral,
175,138,Omanyte,1,Normal,0,Spiral Pokémon,2,Rock,Water,0.4,7.5,3,Swift Swim,Shell Armor,Weak Armor,355,35,40,100,90,55,35,Medium Fast,2,Water 1,Water 3
176,139,Omastar,1,Normal,1,Spiral Pokémon,2,Rock,Water,1,35,3,Swift Swim,Shell Armor,Weak Armor,495,70,60,125,115,70,55,Medium Fast,2,Water 1,Water 3
177,140,Kabuto,1,Normal,0,Shellfish Pokémon,2,Rock,Water,0.5,11.5,3,Swift Swim,Battle Armor,Weak Armor,355,30,80,90,55,45,55,Medium Fast,2,Water 1,Water 3
178,141,Kabutops,1,Normal,1,Shellfish Pokémon,2,Rock,Water,1.3,40.5,3,Swift Swim,Battle Armor,Weak Armor,495,60,115,105,65,70,80,Medium Fast,2,Water 1,Water 3
179,142,Aerodactyl,1,Normal,1,Fossil Pokémon,2,Rock,Flying,1.8,59,3,Rock Head,Pressure,Unnerve,515,80,105,65,60,75,130,Slow,1,Flying,
180,142,Mega Aerodactyl,1,Normal,1,Fossil Pokémon,2,Rock,Flying,2.1,79,1,Tough Claws,,,615,80,135,85,70,95,150,Slow,1,Flying,
181,143,Snorlax,1,Normal,1,Sleeping Pokémon,1,Normal,,2.1,460,3,Immunity,Thick Fat,Gluttony,540,160,110,65,65,110,30,Slow,1,Monster,
182,144,Articuno,1,Sub Legendary,1,Freeze Pokémon,2,Ice,Flying,1.7,55.4,2,Pressure,,Snow Cloak,580,90,85,100,95,125,85,Slow,1,Undiscovered,
183,145,Zapdos,1,Sub Legendary,1,Electric Pokémon,2,Electric,Flying,1.6,52.6,2,Pressure,,Static,580,90,90,85,125,90,100,Slow,1,Undiscovered,
184,146,Moltres,1,Sub Legendary,1,Flame Pokémon,2,Fire,Flying,2,60,2,Pressure,,Flame Body,580,90,100,90,125,85,90,Slow,1,Undiscovered,
185,147,Dratini,1,Normal,0,Dragon Pokémon,1,Dragon,,1.8,3.3,2,Shed Skin,,Marvel Scale,300,41,64,45,50,50,50,Slow,2,Dragon,Water 1
186,148,Dragonair,1,Normal,0,Dragon Pokémon,1,Dragon,,4,16.5,2,Shed Skin,,Marvel Scale,420,61,84,65,70,70,70,Slow,2,Dragon,Water 1
187,149,Dragonite,1,Normal,1,Dragon Pokémon,2,Dragon,Flying,2.2,210,2,Inner Focus,,Multiscale,600,91,134,95,100,100,80,Slow,2,Dragon,Water 1
188,150,Mewtwo,1,Legendary,1,Genetic Pokémon,1,Psychic,,2,122,2,Pressure,,Unnerve,680,106,110,90,154,90,130,Slow,1,Undiscovered,
189,150,Mega Mewtwo X,1,Legendary,1,Genetic Pokémon,2,Psychic,Fighting,2.3,127,1,Steadfast,,,780,106,190,100,154,100,130,Slow,1,Undiscovered,
190,150,Mega Mewtwo Y,1,Legendary,1,Genetic Pokémon,1,Psychic,,1.5,33,1,Insomnia,,,780,106,150,70,194,120,140,Slow,1,Undiscovered,
191,151,Mew,1,Mythical,1,New Species Pokémon,1,Psychic,,0.4,4,1,Synchronize,,,600,100,100,100,100,100,100,Medium Slow,1,Undiscovered,
192,152,Chikorita,2,Normal,0,Leaf Pokémon,1,Grass,,0.9,6.4,2,Overgrow,,Leaf Guard,318,45,49,65,49,65,45,Medium Slow,2,Grass,Monster
193,153,Bayleef,2,Normal,0,Leaf Pokémon,1,Grass,,1.2,15.8,2,Overgrow,,Leaf Guard,405,60,62,80,63,80,60,Medium Slow,2,Grass,Monster
194,154,Meganium,2,Normal,1,Herb Pokémon,1,Grass,,1.8,100.5,2,Overgrow,,Leaf Guard,525,80,82,100,83,100,80,Medium Slow,2,Grass,Monster
195,155,Cyndaquil,2,Normal,0,Fire Mouse Pokémon,1,Fire,,0.5,7.9,2,Blaze,,Flash Fire,309,39,52,43,60,50,65,Medium Slow,1,Field,
196,156,Quilava,2,Normal,0,Volcano Pokémon,1,Fire,,0.9,19,2,Blaze,,Flash Fire,405,58,64,58,80,65,80,Medium Slow,1,Field,
197,157,Typhlosion,2,Normal,1,Volcano Pokémon,1,Fire,,1.7,79.5,2,Blaze,,Flash Fire,534,78,84,78,109,85,100,Medium Slow,1,Field,
198,158,Totodile,2,Normal,0,Big Jaw Pokémon,1,Water,,0.6,9.5,2,Torrent,,Sheer Force,314,50,65,64,44,48,43,Medium Slow,2,Monster,Water 1
199,159,Croconaw,2,Normal,0,Big Jaw Pokémon,1,Water,,1.1,25,2,Torrent,,Sheer Force,405,65,80,80,59,63,58,Medium Slow,2,Monster,Water 1
200,160,Feraligatr,2,Normal,1,Big Jaw Pokémon,1,Water,,2.3,88.8,2,Torrent,,Sheer Force,530,85,105,100,79,83,78,Medium Slow,2,Monster,Water 1
201,161,Sentret,2,Normal,0,Scout Pokémon,1,Normal,,0.8,6,3,Run Away,Keen Eye,Frisk,215,35,46,34,35,45,20,Medium Fast,1,Field,
202,162,Furret,2,Normal,1,Long Body Pokémon,1,Normal,,1.8,32.5,3,Run Away,Keen Eye,Frisk,415,85,76,64,45,55,90,Medium Fast,1,Field,
203,163,Hoothoot,2,Normal,1,Owl Pokémon,2,Normal,Flying,0.7,21.2,3,Insomnia,Keen Eye,Tinted Lens,262,60,30,30,36,56,50,Medium Fast,1,Flying,
204,164,Noctowl,2,Normal,1,Owl Pokémon,2,Normal,Flying,1.6,40.8,3,Insomnia,Keen Eye,Tinted Lens,452,100,50,50,86,96,70,Medium Fast,1,Flying,
205,165,Ledyba,2,Normal,0,Five Star Pokémon,2,Bug,Flying,1,10.8,3,Swarm,Early Bird,Rattled,265,40,20,30,40,80,55,Fast,1,Bug,
206,166,Ledian,2,Normal,1,Five Star Pokémon,2,Bug,Flying,1.4,35.6,3,Swarm,Early Bird,Iron Fist,390,55,35,50,55,110,85,Fast,1,Bug,
207,167,Spinarak,2,Normal,0,String Spit Pokémon,2,Bug,Poison,0.5,8.5,3,Swarm,Insomnia,Sniper,250,40,60,40,40,40,30,Fast,1,Bug,
208,168,Ariados,2,Normal,1,Long Leg Pokémon,2,Bug,Poison,1.1,33.5,3,Swarm,Insomnia,Sniper,400,70,90,70,60,70,40,Fast,1,Bug,
209,169,Crobat,2,Normal,1,Bat Pokémon,2,Poison,Flying,1.8,75,2,Inner Focus,,Infiltrator,535,85,90,80,70,80,130,Medium Fast,1,Flying,
210,170,Chinchou,2,Normal,0,Angler Pokémon,2,Water,Electric,0.5,12,3,Volt Absorb,Illuminate,Water Absorb,330,75,38,38,56,56,67,Slow,1,Water 2,
211,171,Lanturn,2,Normal,1,Light Pokémon,2,Water,Electric,1.2,22.5,3,Volt Absorb,Illuminate,Water Absorb,460,125,58,58,76,76,67,Slow,1,Water 2,
212,172,Pichu,2,Normal,0,Tiny Mouse Pokémon,1,Electric,,0.3,2,2,Static,,Lightning Rod,205,20,40,15,35,35,60,Medium Fast,1,Undiscovered,
213,173,Cleffa,2,Normal,0,Star Shape Pokémon,1,Fairy,,0.3,3,3,Cute Charm,Magic Guard,Friend Guard,218,50,25,28,45,55,15,Fast,1,Undiscovered,
214,174,Igglybuff,2,Normal,1,Balloon Pokémon,2,Normal,Fairy,0.3,1,3,Cute Charm,Competitive,Friend Guard,210,90,30,15,40,20,15,Fast,1,Undiscovered,
215,175,Togepi,2,Normal,0,Spike Ball Pokémon,1,Fairy,,0.3,1.5,3,Hustle,Serene Grace,Super Luck,245,35,20,65,40,65,20,Fast,1,Undiscovered,
216,176,Togetic,2,Normal,0,Happiness Pokémon,2,Fairy,Flying,0.6,3.2,3,Hustle,Serene Grace,Super Luck,405,55,40,85,80,105,40,Fast,2,Fairy,Flying
217,177,Natu,2,Normal,0,Tiny Bird Pokémon,2,Psychic,Flying,0.2,2,3,Synchronize,Early Bird,Magic Bounce,320,40,50,45,70,45,70,Medium Fast,1,Flying,
218,178,Xatu,2,Normal,1,Mystic Pokémon,2,Psychic,Flying,1.5,15,3,Synchronize,Early Bird,Magic Bounce,470,65,75,70,95,70,95,Medium Fast,1,Flying,
219,179,Mareep,2,Normal,0,Wool Pokémon,1,Electric,,0.6,7.8,2,Static,,Plus,280,55,40,40,65,45,35,Medium Slow,2,Field,Monster
220,180,Flaaffy,2,Normal,0,Wool Pokémon,1,Electric,,0.8,13.3,2,Static,,Plus,365,70,55,55,80,60,45,Medium Slow,2,Field,Monster
221,181,Ampharos,2,Normal,1,Light Pokémon,1,Electric,,1.4,61.5,2,Static,,Plus,510,90,75,85,115,90,55,Medium Slow,2,Field,Monster
222,181,Mega Ampharos,2,Normal,1,Light Pokémon,2,Electric,Dragon,1.4,61.5,1,Mold Breaker,,,610,90,95,105,165,110,45,Medium Slow,2,Field,Monster
223,182,Bellossom,2,Normal,1,Flower Pokémon,1,Grass,,0.4,5.8,2,Chlorophyll,,Healer,490,75,80,95,90,100,50,Medium Slow,1,Grass,
224,183,Marill,2,Normal,0,Aqua Mouse Pokémon,2,Water,Fairy,0.4,8.5,3,Thick Fat,Huge Power,Sap Sipper,250,70,20,50,20,50,40,Fast,2,Fairy,Water 1
225,184,Azumarill,2,Normal,1,Aqua Rabbit Pokémon,2,Water,Fairy,0.8,28.5,3,Thick Fat,Huge Power,Sap Sipper,420,100,50,80,60,80,50,Fast,2,Fairy,Water 1
226,185,Sudowoodo,2,Normal,1,Imitation Pokémon,1,Rock,,1.2,38,3,Sturdy,Rock Head,Rattled,410,70,100,115,30,65,30,Medium Fast,1,Mineral,
227,186,Politoed,2,Normal,1,Frog Pokémon,1,Water,,1.1,33.9,3,Water Absorb,Damp,Drizzle,500,90,75,75,90,100,70,Medium Slow,1,Water 1,
228,187,Hoppip,2,Normal,1,Cottonweed Pokémon,2,Grass,Flying,0.4,0.5,3,Chlorophyll,Leaf Guard,Infiltrator,250,35,35,40,35,55,50,Medium Slow,2,Fairy,Grass
229,188,Skiploom,2,Normal,0,Cottonweed Pokémon,2,Grass,Flying,0.6,1,3,Chlorophyll,Leaf Guard,Infiltrator,340,55,45,50,45,65,80,Medium Slow,2,Fairy,Grass
230,189,Jumpluff,2,Normal,1,Cottonweed Pokémon,2,Grass,Flying,0.8,3,3,Chlorophyll,Leaf Guard,Infiltrator,460,75,55,70,55,95,110,Medium Slow,2,Fairy,Grass
231,190,Aipom,2,Normal,0,Long Tail Pokémon,1,Normal,,0.8,11.5,3,Run Away,Pickup,Skill Link,360,55,70,55,40,55,85,Fast,1,Field,
232,191,Sunkern,2,Normal,0,Seed Pokémon,1,Grass,,0.3,1.8,3,Chlorophyll,Solar Power,Early Bird,180,30,30,30,30,30,30,Medium Slow,1,Grass,
233,192,Sunflora,2,Normal,1,Sun Pokémon,1,Grass,,0.8,8.5,3,Chlorophyll,Solar Power,Early Bird,425,75,75,55,105,85,30,Medium Slow,1,Grass,
234,193,Yanma,2,Normal,0,Clear Wing Pokémon,2,Bug,Flying,1.2,38,3,Speed Boost,Compound Eyes,Frisk,390,65,65,45,75,45,95,Medium Fast,1,Bug,
235,194,Wooper,2,Normal,0,Water Fish Pokémon,2,Water,Ground,0.4,8.5,3,Damp,Water Absorb,Unaware,210,55,45,45,25,25,15,Medium Fast,2,Field,Water 1
236,195,Quagsire,2,Normal,1,Water Fish Pokémon,2,Water,Ground,1.4,75,3,Damp,Water Absorb,Unaware,430,95,85,85,65,65,35,Medium Fast,2,Field,Water 1
237,196,Espeon,2,Normal,1,Sun Pokémon,1,Psychic,,0.9,26.5,2,Synchronize,,Magic Bounce,525,65,65,60,130,95,110,Medium Fast,1,Field,
238,197,Umbreon,2,Normal,1,Moonlight Pokémon,1,Dark,,1,27,2,Synchronize,,Inner Focus,525,95,65,110,60,130,65,Medium Fast,1,Field,
239,198,Murkrow,2,Normal,0,Darkness Pokémon,2,Dark,Flying,0.5,2.1,3,Insomnia,Super Luck,Prankster,405,60,85,42,85,42,91,Medium Slow,1,Flying,
240,199,Slowking,2,Normal,1,Royal Pokémon,2,Water,Psychic,2,79.5,3,Oblivious,Own Tempo,Regenerator,490,95,75,80,100,110,30,Medium Fast,2,Monster,Water 1
241,200,Misdreavus,2,Normal,0,Screech Pokémon,1,Ghost,,0.7,1,1,Levitate,,,435,60,60,60,85,85,85,Fast,1,Amorphous,
242,201,Unown,2,Normal,1,Symbol Pokémon,1,Psychic,,0.5,5,1,Levitate,,,336,48,72,48,72,48,48,Medium Fast,1,Undiscovered,
243,202,Wobbuffet,2,Normal,1,Patient Pokémon,1,Psychic,,1.3,28.5,2,Shadow Tag,,Telepathy,405,190,33,58,33,58,33,Medium Fast,1,Amorphous,
244,203,Girafarig,2,Normal,1,Long Neck Pokémon,2,Normal,Psychic,1.5,41.5,3,Inner Focus,Early Bird,Sap Sipper,455,70,80,65,90,65,85,Medium Fast,1,Field,
245,204,Pineco,2,Normal,0,Bagworm Pokémon,1,Bug,,0.6,7.2,2,Sturdy,,Overcoat,290,50,65,90,35,35,15,Medium Fast,1,Bug,
246,205,Forretress,2,Normal,1,Bagworm Pokémon,2,Bug,Steel,1.2,125.8,2,Sturdy,,Overcoat,465,75,90,140,60,60,40,Medium Fast,1,Bug,
247,206,Dunsparce,2,Normal,1,Land Snake Pokémon,1,Normal,,1.5,14,3,Serene Grace,Run Away,Rattled,415,100,70,70,65,65,45,Medium Fast,1,Field,
248,207,Gligar,2,Normal,0,FlyScorpion Pokémon,2,Ground,Flying,1.1,64.8,3,Hyper Cutter,Sand Veil,Immunity,430,65,75,105,35,65,85,Medium Slow,1,Bug,
249,208,Steelix,2,Normal,1,Iron Snake Pokémon,2,Steel,Ground,9.2,400,3,Rock Head,Sturdy,Sheer Force,510,75,85,200,55,65,30,Medium Fast,1,Mineral,
250,208,Mega Steelix,2,Normal,1,Iron Snake Pokémon,2,Steel,Ground,10.5,740,1,Sand Force,,,610,75,125,230,55,95,30,Medium Fast,1,Mineral,
251,209,Snubbull,2,Normal,0,Fairy Pokémon,1,Fairy,,0.6,7.8,3,Intimidate,Run Away,Rattled,300,60,80,50,40,40,30,Fast,2,Fairy,Field
252,210,Granbull,2,Normal,1,Fairy Pokémon,1,Fairy,,1.4,48.7,3,Intimidate,Quick Feet,Rattled,450,90,120,75,60,60,45,Fast,2,Fairy,Field
253,211,Qwilfish,2,Normal,1,Balloon Pokémon,2,Water,Poison,0.5,3.9,3,Poison Point,Swift Swim,Intimidate,440,65,95,85,55,55,85,Medium Fast,1,Water 2,
254,212,Scizor,2,Normal,1,Pincer Pokémon,2,Bug,Steel,1.8,118,3,Swarm,Technician,Light Metal,500,70,130,100,55,80,65,Medium Fast,1,Bug,
255,212,Mega Scizor,2,Normal,1,Pincer Pokémon,2,Bug,Steel,2,125,1,Technician,,,600,70,150,140,65,100,75,Medium Fast,1,Bug,
256,213,Shuckle,2,Normal,1,Mold Pokémon,2,Bug,Rock,0.6,20.5,3,Sturdy,Gluttony,Contrary,505,20,10,230,10,230,5,Medium Slow,1,Bug,
257,214,Heracross,2,Normal,1,Single Horn Pokémon,2,Bug,Fighting,1.5,54,3,Swarm,Guts,Moxie,500,80,125,75,40,95,85,Slow,1,Bug,
258,214,Mega Heracross,2,Normal,1,Single Horn Pokémon,2,Bug,Fighting,1.7,62.5,1,Skill Link,,,600,80,185,115,40,105,75,Slow,1,Bug,
259,215,Sneasel,2,Normal,0,Sharp Claw Pokémon,2,Dark,Ice,0.9,28,3,Inner Focus,Keen Eye,Pickpocket,430,55,95,55,35,75,115,Medium Slow,1,Field,
260,216,Teddiursa,2,Normal,0,Little Bear Pokémon,1,Normal,,0.6,8.8,3,Pickup,Quick Feet,Honey Gather,330,60,80,50,50,50,40,Medium Fast,1,Field,
261,217,Ursaring,2,Normal,0,Hibernator Pokémon,1,Normal,,1.8,125.8,3,Guts,Quick Feet,Unnerve,500,90,130,75,75,75,55,Medium Fast,1,Field,
262,218,Slugma,2,Normal,0,Lava Pokémon,1,Fire,,0.7,35,3,Magma Armor,Flame Body,Weak Armor,250,40,40,40,70,40,20,Medium Fast,1,Amorphous,
263,219,Magcargo,2,Normal,1,Lava Pokémon,2,Fire,Rock,0.8,55,3,Magma Armor,Flame Body,Weak Armor,430,60,50,120,90,80,30,Medium Fast,1,Amorphous,
264,220,Swinub,2,Normal,0,Pig Pokémon,2,Ice,Ground,0.4,6.5,3,Oblivious,Snow Cloak,Thick Fat,250,50,50,40,30,30,50,Slow,1,Field,
265,221,Piloswine,2,Normal,0,Swine Pokémon,2,Ice,Ground,1.1,55.8,3,Oblivious,Snow Cloak,Thick Fat,450,100,100,80,60,60,50,Slow,1,Field,
266,222,Corsola,2,Normal,1,Coral Pokémon,2,Water,Rock,0.6,5,3,Hustle,Natural Cure,Regenerator,410,65,55,95,65,95,35,Fast,2,Water 1,Water 3
267,222,Galarian Corsola,2,Normal,0,Coral Pokémon,1,Ghost,,0.6,0.5,2,Weak Armor,,Cursed Body,410,60,55,100,65,100,30,Fast,2,Water 1,Water 3
268,223,Remoraid,2,Normal,0,Jet Pokémon,1,Water,,0.6,12,3,Hustle,Sniper,Moody,300,35,65,35,65,35,65,Medium Fast,2,Water 1,Water 2
269,224,Octillery,2,Normal,1,Jet Pokémon,1,Water,,0.9,28.5,3,Suction Cups,Sniper,Moody,480,75,105,75,105,75,45,Medium Fast,2,Water 1,Water 2
270,225,Delibird,2,Normal,1,Delivery Pokémon,2,Ice,Flying,0.9,16,3,Vital Spirit,Hustle,Insomnia,330,45,55,45,65,45,75,Fast,2,Field,Water 1
271,226,Mantine,2,Normal,1,Kite Pokémon,2,Water,Flying,2.1,220,3,Swift Swim,Water Absorb,Water Veil,485,85,40,70,80,140,70,Slow,1,Water 1,
272,227,Skarmory,2,Normal,1,Armor Bird Pokémon,2,Steel,Flying,1.7,50.5,3,Keen Eye,Sturdy,Weak Armor,465,65,80,140,40,70,70,Slow,1,Flying,
273,228,Houndour,2,Normal,1,Dark Pokémon,2,Dark,Fire,0.6,10.8,3,Early Bird,Flash Fire,Unnerve,330,45,60,30,80,50,65,Slow,1,Field,
274,229,Houndoom,2,Normal,1,Dark Pokémon,2,Dark,Fire,1.4,35,3,Early Bird,Flash Fire,Unnerve,500,75,90,50,110,80,95,Slow,1,Field,
275,229,Mega Houndoom,2,Normal,1,Dark Pokémon,2,Dark,Fire,1.9,49.5,1,Solar Power,,,600,75,90,90,140,90,115,Slow,1,Field,
276,230,Kingdra,2,Normal,1,Dragon Pokémon,2,Water,Dragon,1.8,152,3,Swift Swim,Sniper,Damp,540,75,95,95,95,95,85,Medium Fast,2,Dragon,Water 1
277,231,Phanpy,2,Normal,0,Long Nose Pokémon,1,Ground,,0.5,33.5,2,Pickup,,Sand Veil,330,90,60,60,40,40,40,Medium Fast,1,Field,
278,232,Donphan,2,Normal,1,Armor Pokémon,1,Ground,,1.1,120,2,Sturdy,,Sand Veil,500,90,120,120,60,60,50,Medium Fast,1,Field,
279,233,Porygon2,2,Normal,0,Virtual Pokémon,1,Normal,,0.6,32.5,3,Trace,Download,Analytic,515,85,80,90,105,95,60,Medium Fast,1,Mineral,
280,234,Stantler,2,Normal,0,Big Horn Pokémon,1,Normal,,1.4,71.2,3,Intimidate,Frisk,Sap Sipper,465,73,95,62,85,65,85,Slow,1,Field,
281,235,Smeargle,2,Normal,1,Painter Pokémon,1,Normal,,1.2,58,3,Own Tempo,Technician,Moody,250,55,20,35,20,45,75,Fast,1,Field,
282,236,Tyrogue,2,Normal,0,Scuffle Pokémon,1,Fighting,,0.7,21,3,Guts,Steadfast,Vital Spirit,210,35,35,35,35,35,35,Medium Fast,1,Undiscovered,
283,237,Hitmontop,2,Normal,1,Handstand Pokémon,1,Fighting,,1.4,48,3,Intimidate,Technician,Steadfast,455,50,95,95,35,110,70,Medium Fast,1,Human-Like,
284,238,Smoochum,2,Normal,0,Kiss Pokémon,2,Ice,Psychic,0.4,6,3,Oblivious,Forewarn,Hydration,305,45,30,15,85,65,65,Medium Fast,1,Undiscovered,
285,239,Elekid,2,Normal,0,Electric Pokémon,1,Electric,,0.6,23.5,2,Static,,Vital Spirit,360,45,63,37,65,55,95,Medium Fast,1,Undiscovered,
286,240,Magby,2,Normal,0,Live Coal Pokémon,1,Fire,,0.7,21.4,2,Flame Body,,Vital Spirit,365,45,75,37,70,55,83,Medium Fast,1,Undiscovered,
287,241,Miltank,2,Normal,1,Milk Cow Pokémon,1,Normal,,1.2,75.5,3,Thick Fat,Scrappy,Sap Sipper,490,95,80,105,40,70,100,Slow,1,Field,
288,242,Blissey,2,Normal,1,Happiness Pokémon,1,Normal,,1.5,46.8,3,Natural Cure,Serene Grace,Healer,540,255,10,10,75,135,55,Fast,1,Fairy,
289,243,Raikou,2,Sub Legendary,1,Thunder Pokémon,1,Electric,,1.9,178,2,Pressure,,Inner Focus,580,90,85,75,115,100,115,Slow,1,Undiscovered,
290,244,Entei,2,Sub Legendary,1,Volcano Pokémon,1,Fire,,2.1,198,2,Pressure,,Inner Focus,580,115,115,85,90,75,100,Slow,1,Undiscovered,
291,245,Suicune,2,Sub Legendary,1,Aurora Pokémon,1,Water,,2,187,2,Pressure,,Inner Focus,580,100,75,115,90,115,85,Slow,1,Undiscovered,
292,246,Larvitar,2,Normal,0,Rock Skin Pokémon,2,Rock,Ground,0.6,72,2,Guts,,Sand Veil,300,50,64,50,45,50,41,Slow,1,Monster,
293,247,Pupitar,2,Normal,0,Hard Shell Pokémon,2,Rock,Ground,1.2,152,1,Shed Skin,,,410,70,84,70,65,70,51,Slow,1,Monster,
294,248,Tyranitar,2,Normal,1,Armor Pokémon,2,Rock,Dark,2,202,2,Sand Stream,,Unnerve,600,100,134,110,95,100,61,Slow,1,Monster,
295,248,Mega Tyranitar,2,Normal,1,Armor Pokémon,2,Rock,Dark,2.5,255,1,Sand Stream,,,700,100,164,150,95,120,71,Slow,1,Monster,
296,249,Lugia,2,Legendary,1,Diving Pokémon,2,Psychic,Flying,5.2,216,2,Pressure,,Multiscale,680,106,90,130,90,154,110,Slow,1,Undiscovered,
297,250,Ho-oh,2,Legendary,1,Rainbow Pokémon,2,Fire,Flying,3.8,199,2,Pressure,,Regenerator,680,106,130,90,110,154,90,Slow,1,Undiscovered,
298,251,Celebi,2,Mythical,1,Time Travel Pokémon,2,Psychic,Grass,0.6,5,1,Natural Cure,,,600,100,100,100,100,100,100,Medium Slow,1,Undiscovered,
299,252,Treecko,3,Normal,0,Wood Gecko Pokémon,1,Grass,,0.5,5,2,Overgrow,,Unburden,310,40,45,35,65,55,70,Medium Slow,2,Dragon,Monster
300,253,Grovyle,3,Normal,0,Wood Gecko Pokémon,1,Grass,,0.9,21.6,2,Overgrow,,Unburden,405,50,65,45,85,65,95,Medium Slow,2,Dragon,Monster
301,254,Sceptile,3,Normal,1,Forest Pokémon,1,Grass,,1.7,52.2,2,Overgrow,,Unburden,530,70,85,65,105,85,120,Medium Slow,2,Dragon,Monster
302,254,Mega Sceptile,3,Normal,1,Forest Pokémon,2,Grass,Dragon,1.9,55.2,1,Lightning Rod,,,630,70,110,75,145,85,145,Medium Slow,2,Dragon,Monster
303,255,Torchic,3,Normal,0,Chick Pokémon,1,Fire,,0.4,2.5,2,Blaze,,Speed Boost,310,45,60,40,70,50,45,Medium Slow,1,Field,
304,256,Combusken,3,Normal,0,Young Fowl Pokémon,2,Fire,Fighting,0.9,19.5,2,Blaze,,Speed Boost,405,60,85,60,85,60,55,Medium Slow,1,Field,
305,257,Blaziken,3,Normal,1,Blaze Pokémon,2,Fire,Fighting,1.9,52,2,Blaze,,Speed Boost,530,80,120,70,110,70,80,Medium Slow,1,Field,
